"","Vitex.cannabifolia","Stenactis.annuus","Photinia.glabra","Deutzia.scabra","Persicaria.thunbergii","Rhododendron.oomurasalei","Besella.rubra","Lythrum.anceps","Swida.macrophylla","Rosa.borboniana","Deutzia.crenata","Cayratia.japonica","Syringa.vulgaris","Baccharis.trimera","Itea.parviflora","Tilia.miqueliana","Lespedeza.thunbergii","Pyracantha.angustifolia","Taraxacum.japonicum","Prunus.sp1.M_PL_054","Ligustrum.obtusifolium","Rhus.sylvestris","Swida.stlonifera","Cinnamomum.camphora","Ligustrum.japonicum","Securinega.suffruticosa","Citrus.tachibana","Trifolium.repens","Justicia.procumbens","Veronicastrum.sibiricum","Spiraea.blumei","Pieris.japonica","Aesculus.camea","Tilia.japonica","Spiraea.tossensis","Stewartia.monadelpha","Edgeworthia.chrysantha","Lonicera.morrowii","Oxalis.corymbosa","Rhododendron.mucronata","Rhus.javanica","Viburnum.erosum","Abelia.grandiflora","Abelia.sp1.M_PL_054","Iris.pseudacorus","Pyracantha.crenulata","Tradescantia.ohiensis","Indigofera.tinctoria","Spiranthes.sinensis","Weigela.hortensis","Aster.ageratoides","Astragalus.sinicus","Cirsium.nipponica","Elaeagnus.multiflora","Enkianthus.perulatus","Mahonia.japonica","Malus.halliana","Spiraea.thunbergii","Hibiscus.syriacus","Pollia.japonica","Berberis.thunbergii","Campsis.grandiflora","Liriope.platyphylla","Viburnum.dilatatum","Wisteria.floribunda","Camellia.sasanqua","Euonymus.fo.rtunei","Fatsia.japonica","Hydrangea.macrophylla","Lyonia.ovalifolia","Nandina.domestica","Philadelphus.coronarius","Spiraea.cantoniensis","Buddleia.davidii","Cercis.siliquastrum","Cladrastis.sikokiana","Coreopsis.basalis","Deutzia.maximowicziana","Forsythia.suspensa","Persicaria.yokusaiana","Stellaria.media","Fraxinus.griffithii","Idesia.polycarpa","Ilex.serrata","Ixeris.debilis","Ixeris.dentata","Kerria.japonica","Prunus.tomentosa","Ranunculus.silerifolius","Rhododendron.macrosepalum","Ulmus.davidiana","Vaccinium.oldhami","Viburnum.suspensum","Aucuba.japonica","Callicarpa.japonica","Calystegia.japonica","Camellia.japonica","Cardamine.regeliana","Clerodendron.trichotomum","Desmodium.padocarpum","Deutzia.gracilis","Hypericum.patulum","Iris.japonica","Oxalis.corniculata","Paederia.scandens","Phlox.subulata","Phytolacca.americana","Polygonum.aubertii","Rorippa.indica","Serissa.japonica","Torilis.japonica","Veronica.persica","Viola.mandshurica"
"Eurema hecabe ",0,0,0,0,2.70121765057115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39717574044102,0,0,0,0,0,0,0,0,1.35904625677363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum japonicum",0,25.2452028337995,0,0,0,0,0,0,0,23.4257185418362,0,0,0,0,0,0,0,15.256734693247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1688998711615,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5832653802564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-129.63250378725,0,0,0,0,0,0,0,-667.120082161046,0,34.9642389576646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile tsurugensis ",37.3202011850976,0,0,0,0,26.446884665135,0,38.2427456833164,0,0,0,0,0,0,0,0,18.8717838744494,0,0,0,0,0,0,0,150.01892463757,0,0,0,0,0,0,0,0,0,0,397.71162951949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polistes jadwigae ",3.99193362257344,0,0,0,0,0,0,0,0,0,13.0114496684576,20.3864276915349,0,0,0,0,0,0,0,0,4.69087767685252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.2827622126987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00299251944956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tetralonia mitsukurii ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76747679628758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp3 M_PL_054",0,0,0,0,3.2545808846598,0,0,0,0,0,0,0,0,4.3863503179022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02341021273514,0,0,0,0,0,0,0,0,0,0,0,62.3605915163273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp4 M_PL_054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6345850769129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zizeeria maha ",0,2.75661646020191,0,0,4.02729848838785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4527779274792,1.89958947809946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eurystylus coelestialium ",2.26398846444948,0,0,0,0,0,0,0,0,0,0,0,7.91488407805438,0,11.1830148038334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polistes mandarinus ",0,0,0,0,0,0,0,0,0,0,0,18.6007080775375,0,0,0,0,0,0,0,7.1801224010554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2697227381281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papilio xuthus ",11.8166197251696,0,0,0,0,133.981176555119,0,0,0,27.645205339018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7991626257438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7198353624155,0,0,0,0,0,0,0
"Graphium sarpedon nipponum ",0,-3.4371806246454,0,0,-1.25539339021219,0,0,0,-2.16867855139362,0,-4.44357204484691,-4.64147923522067,0,0,0,0,0,0,0,0,-3.20398624930918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48.1088515994914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ypthima argus ",0,-35.7652879220271,0,0,0,0,0,0,-22.5659984944548,0,-46.2372074503987,0,0,-35.2109261541206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78.0392113663476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.387423737267,0,0,0,0,0,0,0,0,0,0,0,0
"Arge similis ",0,0,0,0,0,-10.9940265158455,0,0,-6.16980697161198,0,0,-13.204829699475,0,-19.2541551144739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.07551806859251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campsomeris primatica ",-3.58817828551372,0,0,0,-1.65209114955391,0,0,-7.35375401427866,0,0,0,0,0,-4.45320045552144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.07110998276446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campsomeris testaceipes ",0,0,0,0,0,0,0,12.1261709386145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36497230207482,0,7.59628440453221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerceris japonica ",36.177946835548,30.4043109471373,0,0,0,0,0,0,0,0,0,82.1143799720385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 M_PL_054",0,-83.8011518096346,0,0,0,0,-30.0887626772238,0,0,0,0,0,0,0,0,0,0,-16.8815167059033,-21.0131181321696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena opacifovea opacifovea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.90981597768222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4542603864736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1407831052657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5583883592025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blitopertha conspurcata ",0,0,0,0,0,0,0,0,0,6.67921930220897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40391897945534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerceris albofasciata ",3.0211298562693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euapis basalis ",3.02112985626932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helophilus virgatus ",0,0,0,0,0,0,0,0,0,0,0,0,0,81.4597909501323,0,74.5520927659077,0,0,0,301.913154679158,0,0,0,0,0,0,0,0,19.005956192187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.237507275477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum taniolellum",0,0,0,-1.7624506696431,0,0,0,0,0,-4.29709876002487,0,0,0,0,-6.80447665104585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.47994367017113,0,7.64217525642145,0,0,0,0,0,0
"Lasius niger",0,-16.1233468640385,0,0,0,0,0,0,0,0,-20.8441921500133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.5388924759035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-739.6504675107,0,0,0,0,0,0,0,0,0,-18.904442382861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Priophorus nigricans ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7886126320797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scolia oculata ",-9.41485309142688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.12913875844755,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.37209451233689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaerophoria menthastri",0,0,0,0,0,0,0,0,0,0,-14.5964701015262,0,0,0,0,0,0,0,-16.9867281185279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.5012336048637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.98125299111349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp6 M_PL_054",0,0,0,-125.242275640274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001.77678394179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6525.30408280102,0,0,0,-5547.20473076125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp7 M_PL_054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03298982841352,0,0,0,0,0,0,0,0,6.26658081270215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp8 M_PL_054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9827245181402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthophora pilipes villosula ",0,0,0,0,0,-53.5869959747615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.5015434195042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9897407702468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camponotus japonicus",0,0,3.86844694018728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61370166555397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dermestes haemorrhoidalis ",0,0,6.85432107704964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80230677278945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus aerarius ",-1.55681175237455,-3.92508083616652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.95263915259931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.98645556571476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melanostoma scalare",0,0,0,0,37.8446481538717,0,0,0,0,0,0,0,0,0,76.1255499507854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.9879739715979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nysius sp1 M_PL_054",0,5.73898618990499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Popillia japonica ",0,0,0,0,0,0,0,12.1861222038905,0,0,0,10.1220157630156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Protaetia orientalis ",-4.34732817008348,0,0,0,0,0,0,0,0,-20.3413129529866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3947674220711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp10 M_PL_054",0,0,0,0,7.32397256638007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71091068021044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp11 M_PL_054",0,0,0,0,-32.2888806048816,-49.696241340505,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.287228233734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp12 M_PL_054",0,37.459461267508,0,0,0,0,0,0,0,0,0,0,25.9710421098485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp9 M_PL_054",0,5.73898618990498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vespa analis insularis ",-1.34890633886511,0,0,0,-1.24214353172652,0,0,0,0,0,0,-9.18498289798677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asclera nigrocya ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1440287810041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus diversus diversus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76652371655137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63701382303402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombylius major",0,0,0,0,0,-4.37111271100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.03894129476433,0,60.2124746486159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Callosobruchus chinensis ",-1.31247729741001,0,0,0,0,0,0,0,0,0,0,-4.46846500137634,0,0,0,0,0,-1.99980216221186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carpophilus chalybeus ",0,0,0,0,0,0,0,0,0,0,0,0,48.1722011175429,0,0,0,0,0,0,0,0,9.89406564592782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
